artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers
Laufey,Love to Keep Me Warm,3bq7dXN7arTdaq8mmKXxob,76,7gW0r5CkdEUMm42w9XpyZO,79,['gen z singer-songwriter'],2452676
Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),01K4zKU104LyJ8gMb7227B,77,06HL4z0CvFAxyc27GXpf02,100,['pop'],96509805
Lana Del Rey,Chemtrails Over The Country Club,7bPWdJgx8vek7S5i5yAtvG,81,00FQb4jTyendYWaN8pK0wa,89,"['art pop', 'pop']",30783971
Summer Walker,No Love (with SZA),08SB2OtZkaliju77WYEKxk,77,57LYzLEk2LcFghVwuWbcuS,78,"['r&b', 'rap']",5796441
The Kid LAROI,STAY (with Justin Bieber),567e29TDzLwZwfDuEpGTwo,85,2tIP7SsRs7vjIcLrU85W8J,80,['australian hip hop'],4982947
Taylor Swift,Love Story (Taylor’s Version),6YvqWjhGD8mB5QXcbcUKtx,81,06HL4z0CvFAxyc27GXpf02,100,['pop'],96509805
The Kid LAROI,STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,85,2tIP7SsRs7vjIcLrU85W8J,80,['australian hip hop'],4982947
Tory Lanez,Lavender Sunflower,1au2UduxcvHfa0fZS3Szci,79,2jku7tDXc6XoB6MO2hFuqg,80,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",6253762
Morgan Wallen,This Bar,075qcpR3BnxD5CWUIx1HTr,74,4oUHIQIBe0LHzYfvXNW4QM,85,['contemporary country'],7951705
Maroon 5,Memories,4cktbXiXOapiLBMprHFErI,86,04gDigrS5kc9YWfZHwBETP,83,['pop'],41693619
YoungBoy Never Broke Again,Nevada,2cEnKRR4dYBB2VA1mjlb1z,73,7wlFDEWiM5OoIAt8RSli8b,81,"['baton rouge rap', 'rap']",12189405
Taylor Swift,The Way I Loved You (Taylor’s Version),22bPsP2jCgbLUvh82U0Z3M,82,06HL4z0CvFAxyc27GXpf02,100,['pop'],96509805
Drake,TSU,4s7QLoImIwmPi9L6dq1nVW,75,3TVXtAsR1Inumwj472S9r4,96,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",83173873
Moneybagg Yo,Time Today,0YrKSfpvflYnLSBd4Jtu6J,73,3tJoFztHeIJkJWMrx0td2f,74,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",4203378
Deepnoum,Private Jet Sleep,7rl3oe00C0iWzsdmRoIsuG,76,6BF4rM6yrQ3SkKP8rcEdBi,60,"['binaural', 'color noise', 'white noise']",1013
Faye Webster,In A Good Way,2VYnlKxB8jpbCeLUjQsebc,74,5szilpXHcwOqnyKLqGco5j,70,"['atlanta indie', 'indie pop']",880057
Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,84,6eUKZXaKkcviH0Ku9w2n3V,87,"['pop', 'singer-songwriter pop', 'uk pop']",115283525
Yeat,Sorry Bout That,5G9CRx8UPvVfZe1L8gXKT0,77,3qiHUAX7zY4Qnjx8TNUzVx,82,"['pluggnb', 'rage rap']",3789597
PinkPantheress,Attracted to You,4fPjI40ElIwJQ4DJJxSCOe,75,78rUTD7y6Cy67W1RVzYs7t,76,['bedroom pop'],2768239
Chase Matthew,County Line,1V8LJmUEAleAHmBUaD0ZFI,73,7HTLVyjNf0VRxfIgNcfRRH,62,['modern country pop'],201270
Ashe,Moral of the Story,69HzZ3ti9DLwb0GdWCGYSo,81,6P5NO5hzJbuOqSdyPB7SJM,68,['alt z'],1525994
Morgan Wallen,Only Thing That’s Gone (feat. Chris Stapleton),0CfPMZ1DSdzglsMRpLDM2H,73,4oUHIQIBe0LHzYfvXNW4QM,85,['contemporary country'],7951705
Stephen Sanchez,Until I Found You,0T5iIrXA4p5GsubkhuBIKV,82,5XKFrudbV4IiuE5WuTPRmT,75,['gen z singer-songwriter'],1083878
Taylor Swift,Red (Taylor's Version),4OAuvHryIVv4kMDNSLuPt6,80,06HL4z0CvFAxyc27GXpf02,100,['pop'],96509805
